counting_method,target_dilution_fraction,measured_dilution_fraction,random_sample_number,rep_obsv,cell_conc,raw_count,percent_viable_cells,time_elapsed,cell_type,concentration_type,stock_solution,starting_soln_conc,stock_extraction,replicate_sample,analyst
Method 7,0.5,NA,7,1,1554489,NA,NA,185,Simulated Cell Type,Total Cell Concentration,1,2500000,7,1,1
Method 7,0.5,NA,7,2,1271936,NA,NA,185,Simulated Cell Type,Total Cell Concentration,1,2500000,7,1,1
Method 7,0.5,NA,7,3,1323724,NA,NA,185,Simulated Cell Type,Total Cell Concentration,1,2500000,7,1,1
Method 7,0.5,NA,8,1,1687577,NA,NA,190,Simulated Cell Type,Total Cell Concentration,1,2500000,8,2,1
Method 7,0.5,NA,8,2,1498204,NA,NA,190,Simulated Cell Type,Total Cell Concentration,1,2500000,8,2,1
Method 7,0.5,NA,8,3,1628980,NA,NA,190,Simulated Cell Type,Total Cell Concentration,1,2500000,8,2,1
Method 7,0.5,NA,9,1,1687577,NA,NA,195,Simulated Cell Type,Total Cell Concentration,1,2500000,9,3,1
Method 7,0.5,NA,9,2,1498204,NA,NA,195,Simulated Cell Type,Total Cell Concentration,1,2500000,9,3,1
Method 7,0.5,NA,9,3,1628980,NA,NA,195,Simulated Cell Type,Total Cell Concentration,1,2500000,9,3,1
Method 7,0.7,NA,10,1,1446159,NA,NA,200,Simulated Cell Type,Total Cell Concentration,1,2500000,10,1,1
Method 7,0.7,NA,10,2,1432005,NA,NA,200,Simulated Cell Type,Total Cell Concentration,1,2500000,10,1,1
Method 7,0.7,NA,10,3,1609355,NA,NA,200,Simulated Cell Type,Total Cell Concentration,1,2500000,10,1,1
Method 7,0.7,NA,11,1,1801684,NA,NA,205,Simulated Cell Type,Total Cell Concentration,1,2500000,11,2,1
Method 7,0.7,NA,11,2,1887960,NA,NA,205,Simulated Cell Type,Total Cell Concentration,1,2500000,11,2,1
Method 7,0.7,NA,11,3,1610592,NA,NA,205,Simulated Cell Type,Total Cell Concentration,1,2500000,11,2,1
Method 7,0.7,NA,12,1,1398620,NA,NA,210,Simulated Cell Type,Total Cell Concentration,1,2500000,12,3,1
Method 7,0.7,NA,12,2,1332857,NA,NA,210,Simulated Cell Type,Total Cell Concentration,1,2500000,12,3,1
Method 7,0.7,NA,12,3,1655585,NA,NA,210,Simulated Cell Type,Total Cell Concentration,1,2500000,12,3,1
Method 7,0.9,NA,13,1,1911124,NA,NA,215,Simulated Cell Type,Total Cell Concentration,1,2500000,13,1,1
Method 7,0.9,NA,13,2,1631153,NA,NA,215,Simulated Cell Type,Total Cell Concentration,1,2500000,13,1,1
Method 7,0.9,NA,13,3,1797220,NA,NA,215,Simulated Cell Type,Total Cell Concentration,1,2500000,13,1,1
Method 7,0.9,NA,14,1,1854967,NA,NA,220,Simulated Cell Type,Total Cell Concentration,1,2500000,14,2,1
Method 7,0.9,NA,14,2,1829190,NA,NA,220,Simulated Cell Type,Total Cell Concentration,1,2500000,14,2,1
Method 7,0.9,NA,14,3,1613180,NA,NA,220,Simulated Cell Type,Total Cell Concentration,1,2500000,14,2,1
Method 7,0.9,NA,15,1,1801890,NA,NA,225,Simulated Cell Type,Total Cell Concentration,1,2500000,15,3,1
Method 7,0.9,NA,15,2,1955458,NA,NA,225,Simulated Cell Type,Total Cell Concentration,1,2500000,15,3,1
Method 7,0.9,NA,15,3,1770591,NA,NA,225,Simulated Cell Type,Total Cell Concentration,1,2500000,15,3,1
Method 8,0.1,NA,1,1,471053,NA,NA,230,Simulated Cell Type,Total Cell Concentration,1,2500000,1,1,1
Method 8,0.1,NA,1,2,221711,NA,NA,230,Simulated Cell Type,Total Cell Concentration,1,2500000,1,1,1
Method 8,0.1,NA,1,3,662944,NA,NA,230,Simulated Cell Type,Total Cell Concentration,1,2500000,1,1,1
Method 8,0.1,NA,2,1,457413,NA,NA,235,Simulated Cell Type,Total Cell Concentration,1,2500000,2,2,1
Method 8,0.1,NA,2,2,331780,NA,NA,235,Simulated Cell Type,Total Cell Concentration,1,2500000,2,2,1
Method 8,0.1,NA,2,3,229685,NA,NA,235,Simulated Cell Type,Total Cell Concentration,1,2500000,2,2,1
Method 8,0.1,NA,3,1,241529,NA,NA,240,Simulated Cell Type,Total Cell Concentration,1,2500000,3,3,1
Method 8,0.1,NA,3,2,303203,NA,NA,240,Simulated Cell Type,Total Cell Concentration,1,2500000,3,3,1
Method 8,0.1,NA,3,3,437594,NA,NA,240,Simulated Cell Type,Total Cell Concentration,1,2500000,3,3,1
Method 8,0.3,NA,4,1,1104875,NA,NA,245,Simulated Cell Type,Total Cell Concentration,1,2500000,4,1,1
Method 8,0.3,NA,4,2,891053,NA,NA,245,Simulated Cell Type,Total Cell Concentration,1,2500000,4,1,1
Method 8,0.3,NA,4,3,1147756,NA,NA,245,Simulated Cell Type,Total Cell Concentration,1,2500000,4,1,1
Method 8,0.3,NA,5,1,760306,NA,NA,250,Simulated Cell Type,Total Cell Concentration,1,2500000,5,2,1
Method 8,0.3,NA,5,2,794044,NA,NA,250,Simulated Cell Type,Total Cell Concentration,1,2500000,5,2,1
Method 8,0.3,NA,5,3,590132,NA,NA,250,Simulated Cell Type,Total Cell Concentration,1,2500000,5,2,1
Method 8,0.3,NA,6,1,1203949,NA,NA,255,Simulated Cell Type,Total Cell Concentration,1,2500000,6,3,1
Method 8,0.3,NA,6,2,516196,NA,NA,255,Simulated Cell Type,Total Cell Concentration,1,2500000,6,3,1
Method 8,0.3,NA,6,3,814757,NA,NA,255,Simulated Cell Type,Total Cell Concentration,1,2500000,6,3,1
Method 8,0.5,NA,7,1,1221545,NA,NA,260,Simulated Cell Type,Total Cell Concentration,1,2500000,7,1,1
Method 8,0.5,NA,7,2,1373019,NA,NA,260,Simulated Cell Type,Total Cell Concentration,1,2500000,7,1,1
Method 8,0.5,NA,7,3,1268288,NA,NA,260,Simulated Cell Type,Total Cell Concentration,1,2500000,7,1,1
Method 8,0.5,NA,8,1,1700371,NA,NA,265,Simulated Cell Type,Total Cell Concentration,1,2500000,8,2,1
Method 8,0.5,NA,8,2,937095,NA,NA,265,Simulated Cell Type,Total Cell Concentration,1,2500000,8,2,1
Method 8,0.5,NA,8,3,1204156,NA,NA,265,Simulated Cell Type,Total Cell Concentration,1,2500000,8,2,1
Method 8,0.5,NA,9,1,1191817,NA,NA,270,Simulated Cell Type,Total Cell Concentration,1,2500000,9,3,1
Method 8,0.5,NA,9,2,779730,NA,NA,270,Simulated Cell Type,Total Cell Concentration,1,2500000,9,3,1
Method 8,0.5,NA,9,3,1564471,NA,NA,270,Simulated Cell Type,Total Cell Concentration,1,2500000,9,3,1
Method 8,0.7,NA,10,1,1722319,NA,NA,275,Simulated Cell Type,Total Cell Concentration,1,2500000,10,1,1
Method 8,0.7,NA,10,2,1644499,NA,NA,275,Simulated Cell Type,Total Cell Concentration,1,2500000,10,1,1
Method 8,0.7,NA,10,3,1246697,NA,NA,275,Simulated Cell Type,Total Cell Concentration,1,2500000,10,1,1
Method 8,0.7,NA,11,1,750428,NA,NA,280,Simulated Cell Type,Total Cell Concentration,1,2500000,11,2,1
Method 8,0.7,NA,11,2,1793544,NA,NA,280,Simulated Cell Type,Total Cell Concentration,1,2500000,11,2,1
Method 8,0.7,NA,11,3,1912042,NA,NA,280,Simulated Cell Type,Total Cell Concentration,1,2500000,11,2,1
Method 8,0.7,NA,12,1,2424813,NA,NA,285,Simulated Cell Type,Total Cell Concentration,1,2500000,12,3,1
Method 8,0.7,NA,12,2,2189357,NA,NA,285,Simulated Cell Type,Total Cell Concentration,1,2500000,12,3,1
Method 8,0.7,NA,12,3,1768013,NA,NA,285,Simulated Cell Type,Total Cell Concentration,1,2500000,12,3,1
Method 8,0.9,NA,13,1,1869489,NA,NA,290,Simulated Cell Type,Total Cell Concentration,1,2500000,13,1,1
Method 8,0.9,NA,13,2,1439757,NA,NA,290,Simulated Cell Type,Total Cell Concentration,1,2500000,13,1,1
Method 8,0.9,NA,13,3,1644674,NA,NA,290,Simulated Cell Type,Total Cell Concentration,1,2500000,13,1,1
Method 8,0.9,NA,14,1,2449525,NA,NA,295,Simulated Cell Type,Total Cell Concentration,1,2500000,14,2,1
Method 8,0.9,NA,14,2,2185976,NA,NA,295,Simulated Cell Type,Total Cell Concentration,1,2500000,14,2,1
Method 8,0.9,NA,14,3,2013345,NA,NA,295,Simulated Cell Type,Total Cell Concentration,1,2500000,14,2,1
Method 8,0.9,NA,15,1,1646265,NA,NA,300,Simulated Cell Type,Total Cell Concentration,1,2500000,15,3,1
Method 8,0.9,NA,15,2,1615196,NA,NA,300,Simulated Cell Type,Total Cell Concentration,1,2500000,15,3,1
Method 8,0.9,NA,15,3,1765701,NA,NA,300,Simulated Cell Type,Total Cell Concentration,1,2500000,15,3,1
